,Tweets,id,len,date,source,likes,retweets
15,"#MangumFire Update for Sunday, June 21, 2020
Acreage 66,294 Containment 23%
Forest Closure, North Rim of the Grand… https://t.co/eG45CMcZRi",1274779118677172225,139,2020-06-21 19:00:00,Twitter Web App,15,3
16,"Do not take chances. If you are determined to hike to the bottom this summer, think long and hard about your route,… https://t.co/GVxIFFjXOn",1274734428359503872,140,2020-06-21 16:02:25,Twitter Web App,55,5
17,"Hiking to the bottom of Grand Canyon can be the experience of a lifetime, but it can also be dangerous, and even fa… https://t.co/cYjavsnQ0Z",1274734425381588994,140,2020-06-21 16:02:25,Twitter Web App,804,123
18,@BethStimpert Nice photo. Thanks for sharing.,1274700123017293826,45,2020-06-21 13:46:06,Twitter Web App,0,0
19,"When your dad wants ""one more photo!"" 

Happy #FathersDay - to all father-figures - from Grand Canyon National Park… https://t.co/kapOQFVdOE",1274696614733664262,140,2020-06-21 13:32:10,Twitter Web App,521,59
20,"Happy Summer Solstice; the longest day of the year. 
Sunset from Mather Point this evening, 6/20/2020
#Solstice… https://t.co/UwaeCKC5u9",1274560447795036160,136,2020-06-21 04:31:05,Twitter Web App,727,120
21,It's your last chance to enjoy this year's virtual Star Party! Come and join us as Focus Astronomy dives into the s… https://t.co/xtBG8dbSiw,1274522425753911296,140,2020-06-21 02:00:00,Twitter Media Studio,91,17
22,"Though unlikely, a deep impact could wipe out human civilization as we know it—so how do we prevent armageddon? Fin… https://t.co/DR5SO5YI94",1274477128118124545,140,2020-06-20 23:00:00,Twitter Media Studio,20,2
23,"#MangumFire Update
Acreage 64,509 Containment 4%
Forest Closure, North Rim of the Grand Canyon Closure, BLM Closure… https://t.co/KlwVI17uwQ",1274428260059738112,140,2020-06-20 19:45:49,Twitter Web App,6,1
24,"@MCArtClass40 @shelbycountysch @NatlParkService @NPCA @GoParks @CBSThisMorning @edutopia If they have any questions, let us know! - BM",1274398040472739842,134,2020-06-20 17:45:44,Twitter Web App,1,0
25,RT @GCConservancy: GCC wishes you a happy First Day of Summer! ☀️⁠ https://t.co/NOTfKCdU93,1274397312194772992,90,2020-06-20 17:42:51,Twitter Web App,0,28
26,"@Lstad78 Thanks, Leo.",1274356427704995848,21,2020-06-20 15:00:23,Twitter Web App,1,0
27,"Good Morning from Grand Canyon National Park, on this the longest day of 2020, Summer Solstice. 
Sunset tonight is… https://t.co/WVZMGynkuB",1274355390243889152,139,2020-06-20 14:56:16,Twitter Web App,1259,204
28,Thinking about a socially distanced hike in #GrandCanyon? Remember: It's going to be H O T. Be sure to check the we… https://t.co/R8aXRE1vMA,1274326136416321538,140,2020-06-20 13:00:01,Twitter Media Studio,176,23
29,Didn't make it to Monday's telescope session with the Tucson Amateur Astronomy Association? Tune in right now to se… https://t.co/6Xv1DY0YG2,1274160036990685184,140,2020-06-20 02:00:00,Twitter Media Studio,30,2
30,"Starting in 15 Minutes: Virtual Grand Canyon Star Party 2020: Telescope Session 3 (Reprise) 
by the Tucson Amateur… https://t.co/t7bePNiAjo",1274156872916848640,139,2020-06-20 01:47:25,Twitter Web App,378,65
31,"Wishing everyone a Happy Juneteenth! If you are unfamiliar with this summer celebration, here's a brief explanation… https://t.co/A1x4kfh35n",1274152009873022977,140,2020-06-20 01:28:06,Twitter Web App,33,4
32,"How does one capture the wonder of the stars at night? It's not easy—but fortunately, Bettymaya Foott of the Intern… https://t.co/U566qdxumT",1274114739119943680,140,2020-06-19 23:00:00,Twitter Media Studio,26,7
33,"RT @GCConservancy: Can you guess these 10 summer hiking essentials? ☀️🥾

1. 💧🚰
2. 🍇🥜🥪
3. ⛑️🤕💼
4. 🧭 🗺️
5. 🎒👜
6. 🔦🔋💡
7. 🧴🚫☀️
8. 🧢👒🤠
9. 📣🗣🎶 
1…",1274071678172028928,140,2020-06-19 20:08:53,Twitter for iPhone,0,12
34,"#MangumFire update for Friday, June 19, 2020

Acreage 61,210 Containment 4%
Forest Closure, North Rim of the Grand… https://t.co/GvDTN3BnoD",1274054343218495488,139,2020-06-19 19:00:00,Twitter Web App,12,3
35,"Good Morning from Grand Canyon National Park on this Friday, June 19, 2020. A hazy morning here with smoke from the… https://t.co/G8u2vG1Hv4",1273975786765090816,140,2020-06-19 13:47:51,Twitter Web App,689,119
36,"RT @NWSFlagstaff: Astronomical summer starts during  the afternoon Saturday, June 20th and it will soon feel like it. We are headed for the…",1273797361756590080,140,2020-06-19 01:58:51,Twitter Web App,0,6
37,"Monsoon Awareness Week 2020.
Megan, with National Weather Service in Flagstaff, AZ, talks with Grand Canyon Nationa… https://t.co/ndUn1X8BOU",1273786324542197760,140,2020-06-19 01:15:00,Twitter Media Studio,312,59
38,Starting in 1 hour - a Virtual Grand Canyon Star Party 2020 telescope session (by Focus Astronomy) explores interes… https://t.co/QFubRm2uoM,1273782549534240768,140,2020-06-19 01:00:00,Twitter Media Studio,1441,336
39,"Before Apollo astronauts walked on the moon, they walked in Grand Canyon. Together with Kevin Schindler of… https://t.co/oCk8nyBBLH",1273752354823778310,131,2020-06-18 23:00:01,Twitter Media Studio,37,3
40,"Tonight's Virtual Grand Canyon Star Party 2020 telescope session, courtesy of Focus Astronomy, explores some of the… https://t.co/fJgdTNhkHp",1273728721225056256,140,2020-06-18 21:26:06,Twitter Media Studio,83,26
41,"Monsoon Awareness Week 2020.
Megan, with National Weather Service in Flagstaff, AZ, talks with Grand Canyon Nationa… https://t.co/IhXIcMc9W7",1273723441040912384,140,2020-06-18 21:05:07,Twitter Media Studio,60,10
42,@JimmyTull67 When the Navajo Nation COVID-19 caseload decreases and their lock downs end. An opening date is not po… https://t.co/LGdVqLTVIP,1273642595030188034,140,2020-06-18 15:43:52,Twitter Web App,1,0
43,"Good morning, on this Thurs June 18, 2020. Grand Canyon is full of smoke this morning from nearby wildfires. 
The N… https://t.co/2eamU55xWq",1273639931236151296,140,2020-06-18 15:33:17,Twitter Web App,466,74
44,"In tonight's telescope session, courtesy of the Tucson Amateur Astronomy Association, we'll be exploring some of th… https://t.co/OE0cdtL8Ng",1273435261523726337,140,2020-06-18 02:00:00,Twitter Media Studio,46,4
45,"How does one capture a canvas as marvelous and beautiful as the #nightsky? Tonight, we're hosting photographer Shre… https://t.co/V2HVhKeGwm",1273389965091708936,140,2020-06-17 23:00:00,Twitter Media Studio,51,15
46,@Dat_As4 Not yet. Highway 89A is closed from Marble Canyon to Fredonia. Highway 67 from Jacob Lake to Grand Canyon… https://t.co/XEXiELgNNV,1273264930888617985,139,2020-06-17 14:43:10,Twitter Web App,5,0
47,"Park status update, June 17, 2020 - 
South Rim Open - North Rim CLOSED (due to a wildfire) - Desert View/East Entra… https://t.co/vdp1wucDlh",1273258461720010753,140,2020-06-17 14:17:27,Twitter Media Studio,34,5
48,"@Greg94122503 Thanks for sharing, Greg.",1273244418464571393,39,2020-06-17 13:21:39,Twitter Web App,1,0
49,@AuntieChrisL Not able to view Facebook?,1273102785299521539,40,2020-06-17 03:58:51,Twitter Web App,0,0
50,"#NaturePhotographyDay  #NaturePhotography 
How to view and photograph wildlife: https://t.co/yjjHwTcmu2
Photography… https://t.co/WuqlXfUMmo",1273102351537246209,140,2020-06-17 03:57:08,Twitter Web App,537,120
51,"Want to explore the night skies over Grand Canyon? Join tonight's telescope session! To find out how, or to explore… https://t.co/9b62Y2L6GL",1273057776294596613,140,2020-06-17 01:00:00,Twitter Media Studio,35,8
52,"In tonight's virtual Star Party event, we are proud to host @astraughnomer and her insight into @NASA's revolutiona… https://t.co/1IHYw1tLjf",1273027575032487936,140,2020-06-16 23:00:00,Twitter Media Studio,23,5
53,"Remember, you must use the South Entrance near the town of Tusayan to enter and exit the park. The East Entrance to… https://t.co/Hv49JY6RcA",1272982276482228230,140,2020-06-16 20:00:00,Twitter Web App,223,35
54,"The North Rim remains closed due to the #MangumFire until further notice. 
AZ DOT has closed Highway 89A from Marbl… https://t.co/YyE42IPMcj",1272952080051904515,140,2020-06-16 18:00:00,Twitter Web App,23,7
55,Red Flag Warning for northern Arizona. Stage 2 Fire Restrictions are in effect for Grand Canyon National Park. This… https://t.co/TUymV9LeZE,1272939494673547271,140,2020-06-16 17:10:00,Twitter Web App,27,8
56,Hold onto your hats! It's supposed to be windy out there today. Expect wind gusts of 35-40 mph. This combined with… https://t.co/9aJNuLVEj5,1272926921605541889,139,2020-06-16 16:20:02,Twitter Web App,127,18
57,"RT @NWSAlbuquerque: Today's Monsoon Awareness Week topic is Extreme Heat. 

How can you stay safe &amp; beat the heat during those hot, dry per…",1272738360034033666,144,2020-06-16 03:50:46,Twitter Web App,0,20
58,"Space is big. How big? *REALLY* big. Don't believe us? Then check out tonight's virtual Star Party event, where… https://t.co/ncOOdXPv4D",1272665191805710336,136,2020-06-15 23:00:01,Twitter Media Studio,22,7
59,"In tonight's telescope session, courtesy of the Tucson Amateur Astronomy Association, we'll be exploring some of th… https://t.co/CEmxVe4EE3",1272665188265836544,140,2020-06-15 23:00:00,Twitter Media Studio,36,7
60,@duncanlitton Hello Duncan! No new overnight camping permits for the inner canyon are being issued at this time. - BM,1272643263577550848,117,2020-06-15 21:32:53,Twitter Web App,0,0
61,@DennyChitwood You are correct! Apologies for the typo.,1272601302418128896,55,2020-06-15 18:46:08,Twitter Web App,0,0
62,RT @NWSFlagstaff: Today’s #Monsoon2020 Awareness focus is on heat. Heat is the #1 weather-related killer nationwide. The depths of the Gran…,1272524720932442112,140,2020-06-15 13:41:50,Twitter for iPhone,0,19
63,RT @NWSFlagstaff: The Red Flag Warning for Tuesday has been expanded to include the northern half of the state. Wind gusts of 35-45 mph and…,1272510221349384192,140,2020-06-15 12:44:13,Twitter for iPhone,0,23
64,"Want to explore the night skies over Grand Canyon? Join tonight's telescope session! To find out how, or to explore… https://t.co/ofkfTyo0yb",1272333000991297537,140,2020-06-15 01:00:00,Twitter Media Studio,309,83
65,"Lions? Vultures? A Scorpion?! At 6pm PDT, join our virtual Star Party event with Dr. Danielle Adams, learn about th… https://t.co/S0TkWR91Ye",1272302799854768128,140,2020-06-14 23:00:00,Twitter Media Studio,28,4
66,"Beginning Today, June 14, 2020, Grand Canyon National Park will initiate a phased reopening of Colorado River comme… https://t.co/VyQDD4tF70",1272272851865870336,140,2020-06-14 21:01:00,Twitter Media Studio,196,31
67,@penguintipper Thank you for the kind words!,1272270221227642880,44,2020-06-14 20:50:33,Twitter Web App,11,1
68,"Did you know today is #FlagDay? Since #GrandCanyon was proclaimed a National Monument in 1908, five different versi… https://t.co/0Gt4ldKjoE",1272234288277151744,140,2020-06-14 18:27:45,Twitter Web App,52,6
69,"Correction. Highway 89A is open from Bitter Springs to Lees Ferry, Marble Canyon and Cliff Dwellers.",1272192875841781763,100,2020-06-14 15:43:12,Twitter Web App,14,6
70,"Reminder: The North Rim of Grand Canyon National Park is CLOSED until further notice due to the #MagnumFire (20,000… https://t.co/3NvYOGaJ8j",1272177220623060992,140,2020-06-14 14:40:59,Twitter Web App,390,134
71,"Virtual Grand Canyon Star Party 2020, begins tonight! 
Join us for 8 nights of virtual telescope viewing sessions &amp;… https://t.co/okcErTnlp1",1271943986853208064,144,2020-06-13 23:14:12,Twitter Web App,147,40
72,RT @NWSFlagstaff: Dangerous fire weather conditions are being observed early this afternoon across a large portion of northern Arizona. Ple…,1271912036901871616,140,2020-06-13 21:07:15,Twitter for iPhone,0,20
73,"Reminder, If you are traveling today: The North Rim of Grand Canyon National Park, along with SR 89A, and SR 67 are… https://t.co/kNYYDKkfDU",1271874741737943041,140,2020-06-13 18:39:03,Twitter for iPhone,333,93
74,The North Rim is CLOSED until further notice due to the Magnum Fire that is burning north of the park. Highway 89A… https://t.co/Sb4khfCWkU,1271825027902496770,139,2020-06-13 15:21:30,Twitter Web App,182,55
75,"Beginning June 14, 2020, Grand Canyon National Park will initiate a phased reopening of Colorado River commercial a… https://t.co/VxzPQOf6pG",1271807083579506689,140,2020-06-13 14:10:12,Twitter Media Studio,675,120
76,RT @NWSFlagstaff: Strong wind and low humidity will create dangerous fire weather conditions today over much of northern Arizona.  Any fire…,1271797866986475520,140,2020-06-13 13:33:35,Twitter for iPhone,0,13
77,"Grand Canyon National Park Temporarily Closes North Rim Due to Mangum Fire.

https://t.co/9R572HvKOO https://t.co/Fa1tndLpEK",1271729192321929216,124,2020-06-13 09:00:41,Twitter Web App,285,70
78,"RT @coconinoem: Evacuations currently underway in the Jacob Lake area due to the Mangum Fire burning nearby. 

@KaibabNF 
@CoconinoSheriff…",1271728795750248449,139,2020-06-13 08:59:07,Twitter for iPhone,0,6
79,"RT @ArizonaDOT: US 89A: Highway closed in both directions between mileposts 608 and 545, Fredonia to Cliff Dwellers, due to a wildfire. Tra…",1271629294549086208,140,2020-06-13 02:23:44,Twitter for iPhone,0,23
80,"Grand Canyon National Park and the Grand Canyon Conservancy invite you to the Virtual Grand Canyon Star Party 2020,… https://t.co/j7jSIXsNbO",1271608500897017856,140,2020-06-13 01:01:06,Twitter Web App,540,185
81,RT @NWSFlagstaff: Looks like a windy day ahead for your Saturday. If you plan to take a walk or go on a short hike the early morning will b…,1271570404952293376,140,2020-06-12 22:29:43,Twitter Web App,0,6
82,RT @NWSFlagstaff: Dangerous fire weather returns through Saturday with gusty winds and low humidity. PLEASE observe all fire restrictions a…,1271439431396982784,140,2020-06-12 13:49:17,Twitter Web App,0,23
83,"RT @Interior: Supporting jobs in gateway communities &amp; the recreation industry across the country, national parks provide a powerful econom…",1271307309495377922,144,2020-06-12 05:04:16,Twitter for iPhone,0,101
84,"North Rim - South Rim. Trying to figure out which side to visit? Find out what is open, and what remains closed.… https://t.co/ZDJIBZyvYN",1271125041233575937,137,2020-06-11 17:00:00,Twitter Web App,898,123
85,"@meghan_farrell yes, thanks, at sunset",1270911607271493632,38,2020-06-11 02:51:54,Twitter Web App,2,0
86,"@JayDavis000 Yes, Canyon Village Market on South Rim is open daily. Yes, Stage 2 Fire Restrictions are in effect: D… https://t.co/GNcsphczs8",1270911486190325761,140,2020-06-11 02:51:25,Twitter Web App,1,0
87,"“Silence is the sleep that nourishes wisdom.” 
― Francis Bacon  #WednesdayWisdom https://t.co/KdJ6sdOaTb",1270896297747202048,104,2020-06-11 01:51:04,Twitter Media Studio,1752,411
88,@Benjami51207671 Yes. Thanks.,1270801377518895104,29,2020-06-10 19:33:53,Twitter Web App,0,0
89,@JRGuy8 That has not been determined yet. The staff is working on it. Hopefully an announcement will be made in the next 2 weeks.,1270759988080906241,129,2020-06-10 16:49:25,Twitter Web App,1,0
90,"North Rim - South Rim. Our Phased Reopening is Underway! Find out what is open, and what remains closed.… https://t.co/D1lrA5PNk9",1270742633481211904,129,2020-06-10 15:40:27,Twitter Web App,1049,163
91,"Grand Canyon &gt; Some Thoughts on Music &gt; 
https://t.co/6akzc2h8mc https://t.co/tvdJiwxqwr",1270514081321979904,94,2020-06-10 00:32:16,Twitter Media Studio,426,64
92,"#DYK Phantom Ranch, at the bottom of Grand Canyon, had the driest summer on record (in 2019) with 0.45"" of rain, wh… https://t.co/sUvFL6hRAK",1270475342809935872,140,2020-06-09 21:58:20,Twitter Media Studio,38,10
93,"As a reminder, Grand Canyon National Park is also in Stage 2 Fire Restrictions. https://t.co/9HxAmvCGL5",1270466462885441537,103,2020-06-09 21:23:03,Twitter Web App,22,5
94,"RT @SecBernhardt: Recognized as America’s best idea, we’ve loved our @NatlParkService for over a century. With more than 315 million visito…",1270436478934331392,140,2020-06-09 19:23:54,Twitter Web App,0,734
95,"This is the view from Yavapai Point on this morning of Tuesday, June 9, 2020.  For information about what is open a… https://t.co/1DNOPkwKT5",1270396104727764995,140,2020-06-09 16:43:28,Twitter Web App,704,104
96,RT @KaibabNF: Kaibab National Forest fire crews and other firefighting resources are responding to a wildfire on the North Kaibab Ranger Di…,1270370722041303041,140,2020-06-09 15:02:37,Twitter Web App,0,35
97,"RT @GCConservancy: Slow down and take a breath with our next installment of our #GrandCanyonMoments series, which offers tranquil, scenery…",1270143090192314368,139,2020-06-08 23:58:05,Twitter for iPhone,0,14
98,"Did you know that the Havasupai Reservation is closed for tourism? 
It's important to check the status of locations… https://t.co/5TkzDKv5mw",1270113376039923712,140,2020-06-08 22:00:01,Twitter Media Studio,254,38
99,Mather Campground is open for existing reservations only. No new reservations at this time. Family sites only - no… https://t.co/NR6W7ZcJBq,1270083174853378052,139,2020-06-08 20:00:00,Twitter Media Studio,23,5
100,"Oh deer we're out of ideas for elk jokes. 
All animals in parks are wild—elk can be particularly aggressive right n… https://t.co/pemqyMYBbc",1270052975973740547,140,2020-06-08 18:00:00,Twitter Media Studio,823,142
101,"Accessed by driving US Route 89, then SR 64, the East Entrance to the park at Desert View, is CLOSED because of COV… https://t.co/tgHNGAQmzg",1270022778503266305,140,2020-06-08 16:00:00,Twitter Media Studio,48,9
102,"@LunaAmore14 This lookout is in the historic district of Grand Canyon Village, near Hopi House and Verkamp's Visitor Center.",1269988412993310722,124,2020-06-08 13:43:27,Twitter Web App,1,0
103,"@LunaAmore14 Thanks for letting us know. Are you able to view the Park Profile through the full link?
https://t.co/Wo2s5maEeb",1269988164178898946,125,2020-06-08 13:42:28,Twitter Web App,1,0
104,"A bit chilly this morning. Temps almost dropped down to freezing last night. (6/8/2020) 

Looking for Grand Canyon… https://t.co/f7C2kucF79",1269982427549626371,139,2020-06-08 13:19:40,Twitter Web App,100,10
105,"RT @NWSFlagstaff: Wind Advisories &amp; Red Flag Warnings today thru 7 PM MST and Monday. 

Red Flag Warnings need wind gusts starting @ 35 mph…",1269754864029986817,144,2020-06-07 22:15:25,Twitter for iPhone,0,8
106,"Check the open status of the area you’re considering visiting. Did you know some parks such as Antelope Canyon, Mon… https://t.co/Vc9rs7jqw7",1269750985255260165,140,2020-06-07 22:00:00,Twitter Media Studio,21,8
107,"""We had reached the Canon on the second level or edge of the great gulf. Above and around us rose a wall of 2000 fe… https://t.co/0DY1V2gzrK",1269721037320491008,140,2020-06-07 20:01:00,Twitter Media Studio,323,42
108,"Would you like some calf and calf with your visit?
If you are fortunate to see elk give them plenty of space. Mom e… https://t.co/VMPvQx91iq",1269690589580230668,140,2020-06-07 18:00:00,Twitter Media Studio,267,51
109,@TheHikingDiva Thanks for sharing!,1269680180341215238,34,2020-06-07 17:18:39,Twitter Web App,1,0
110,Doggy visitors have less depth perception than humans. Keep them #safe &amp; on a leash on the Rim Trail… https://t.co/XJngPBv515,1269677821707812867,129,2020-06-07 17:09:16,Twitter Web App,53,3
111,Mather Campground is open for existing reservations only. No new reservations at this time. Family sites only - no… https://t.co/do0YDnQV3g,1269660392600436736,139,2020-06-07 16:00:01,Twitter Media Studio,30,4
112,"RT @NWSFlagstaff: A Red Flag Warning is effect for much of northern Arizona on  Sunday, from 11 AM to 7 PM MST.
#azwx https://t.co/U7ibF8iX…",1269492879765864450,140,2020-06-07 04:54:23,Twitter for iPhone,0,9
113,"""When your spirit cries for peace,
Come to a world of canyons,
Deep in an old land;
Feel the exultation of high pla… https://t.co/wr8MXacqLX",1269459388462501888,140,2020-06-07 02:41:18,Twitter Media Studio,955,260
114,Know before you go. Follow the orders governing the open status of the area you’re considering visiting. Havasupai… https://t.co/nti522XaLr,1269388598731845635,139,2020-06-06 22:00:00,Twitter Media Studio,310,51
115,"Grand Canyon National Park is under Stage 2 Fire Restrictions:  
https://t.co/fvTacl5AGm https://t.co/hp5vr1M77m",1269361047653277698,112,2020-06-06 20:10:32,Twitter Web App,13,7
116,"As a reminder, Stage 2 Fire Restrictions in effect for the South Rim of Grand Canyon National Park. This means no f… https://t.co/hk380tXR6n",1269358399809978371,140,2020-06-06 20:00:00,Twitter Media Studio,30,3
117,"Accessed by driving US Route 89, then SR 64, the East Entrance to the park at Desert View, is CLOSED because of COV… https://t.co/K6kSU3qPfj",1269328200376729608,140,2020-06-06 18:00:00,Twitter Media Studio,81,7
118,"Want to camp at the South Rim?
At this time, Mather Campground is open only for existing reservations. New reservat… https://t.co/BzDGKH3VuD",1269298001694031873,140,2020-06-06 16:00:00,Twitter Media Studio,322,47
119,"Driving along U.S. Route 89 to reach the park? 
Be aware that U.S. Route 89 in Northern Arizona passes through Nava… https://t.co/HJoalw69qj",1269026211910479872,140,2020-06-05 22:00:00,Twitter Media Studio,24,7
120,"When my friends ask my plans for hiking, I summit it up nicely.
It's #NationalTrailsDay! If you're thinking about h… https://t.co/kefl3Qpj0V",1269022161118695424,140,2020-06-05 21:43:55,Twitter Web App,57,2
121,Stage 2 Fire Restrictions in effect for the South Rim of Grand Canyon National Park. This means no fires of any kin… https://t.co/jnnhPKejyo,1268996011935985664,140,2020-06-05 20:00:00,Twitter Media Studio,13,10
122,"Accessed by driving US Route 89, then SR 64, the East Entrance to the park at Desert View, is CLOSED because of COV… https://t.co/g6AYC2bIn2",1268965814440308738,140,2020-06-05 18:00:01,Twitter Media Studio,15,4
123,Mather Campground is open for existing reservations. No new reservations at this time. Family sites only - no group… https://t.co/Nxf3claH6W,1268950713046007808,140,2020-06-05 17:00:00,Twitter Media Studio,47,4
124,"RT @NWSFlagstaff: Unseasonable trough passage on Friday will lead to areas of critical fire weather, windy conditions, and even a chance fo…",1268770523271409664,140,2020-06-05 05:04:00,Twitter Web App,0,18
125,UPDATE: Grand Canyon National Park North Rim.  https://t.co/VUex9uXZBw https://t.co/3Y6xxgI8Io,1268641883699331072,94,2020-06-04 20:32:49,Twitter Media Studio,1365,210
126,RT @NWSFlagstaff: More heat in store for today. Take care to stay cool. Winds Friday afternoon could create dangerous fire weather conditio…,1268618537414754304,140,2020-06-04 19:00:03,Twitter Web App,0,21
127,"You don't know the calf of it!
Being a mother is hard, regardless of your species. Elk moms are particularly protec… https://t.co/z0Risbm5Q9",1268606185894055937,140,2020-06-04 18:10:58,Twitter Web App,733,134
128,"Find trailheads, restrooms, overlooks and more - throughout the entire park with our official  mobile app.… https://t.co/VSkMgUQwlm",1268540923996254216,131,2020-06-04 13:51:39,Twitter Media Studio,28,3
129,"""No one can possess the beautiful things in this Earth, but we can know them and love them.” ― Paulo Coelho

Evenin… https://t.co/uZK0YTFQQC",1268395444293349376,140,2020-06-04 04:13:34,Twitter for iPhone,950,177
130,"Heat Advisory today 6/3/2020  88 F on S. Rim / 108 F in canyon 

""The heat was coming off the vertical stone all ar… https://t.co/XK6MuNsHcY",1268241137438990337,140,2020-06-03 18:00:24,Twitter Media Studio,194,31
131,RT @NWSFlagstaff: A couple of hot days forecast for Arizona high country. A heat warning is in effect for the lower elevations of Yavapai C…,1268215119919697922,140,2020-06-03 16:17:01,Twitter Web App,0,6
132,RT @NWSFlagstaff: Very warm temperatures will setup over northern Arizona on Wednesday and Thursday. Try to limit your time outdoors during…,1267841813718560770,140,2020-06-02 15:33:38,Twitter for iPhone,0,13
133,"Good morning from Grand Canyon National park on this Tuesday, June 2, 2020. The view is from Powell Point, Today, t… https://t.co/HDQLPPHUuO",1267821701393350658,140,2020-06-02 14:13:43,Twitter Web App,554,100
134,"Did you know some parks such as Antelope Canyon, Monument Valley and the Four Corners Monument are Navajo Tribal Pa… https://t.co/ldpacd94ix",1267580853808271360,140,2020-06-01 22:16:40,Twitter Web App,50,19
135,"RT @GCConservancy: New month
New goals
New mindset
New focus
New intentions
New results

#GrandCanyon #MondayMotivation

(Photo by Stacey F…",1267518088125181955,140,2020-06-01 18:07:16,Twitter for iPhone,0,91
136,"@Christo70146710 North Rim gate opens at 6 am on the morning of Friday, June 5, 2020.",1267495783479291904,85,2020-06-01 16:38:38,Twitter Web App,1,0
137,Looking for Grand Canyon facts &amp; figures?  Download the 2019 Park Profile: https://t.co/h9XXwHtPRR  #Statistics… https://t.co/PmZ5o9LV2a,1267484356886646785,140,2020-06-01 15:53:14,Twitter Media Studio,272,50
138,"RT @GCConservancy: “The richness I achieve comes from nature, the source of my inspiration.” -Claude Monet

(Photos by GCCFI Program Manage…",1267250126344445952,140,2020-06-01 00:22:29,Twitter for iPhone,0,21
139,RT @NWSFlagstaff: Isolated to scattered thunderstorms will form this afternoon and evening. Be prepared for the possibility of gusty outflo…,1267080433310633986,140,2020-05-31 13:08:11,Twitter for iPhone,0,9
140,Friday's sunset (5/29/20) Portions of the South Rim are open this weekend for Recreational Day Use. Some services a… https://t.co/WDKakotTrr,1266775308516147203,140,2020-05-30 16:55:43,Twitter Web App,1153,194
141,"@word_working @word_working  Thanks, Yes, probably from the South Rim of Grand Canyon (Wasn't a national park back… https://t.co/RGlxVEWFNd",1266443445096284162,139,2020-05-29 18:57:01,Hootsuite Inc.,4,1
142,@word_working @word_working,1266441332442234880,27,2020-05-29 18:48:37,Hootsuite Inc.,1,0
143,Mother elk are especially fierce &amp; protective of their calves. They may charge people &amp; cars to protect their babie… https://t.co/gQvow67cFt,1266391653301907456,148,2020-05-29 15:31:13,Twitter Media Studio,763,116
144,"Danger - Excessive Heat Warning Today (Friday, 5/29/2020) Temperatures inside Grand Canyon and at Phantom Ranch wil… https://t.co/IvbDqCuYxD",1266362556093890561,140,2020-05-29 13:35:35,Twitter Web App,44,15
